"Total children age 6-23 months receiving an adequate diet16, 17  (%)",Children under 5 years who are stunted (height-for-age)18 (%),Children under 5 years who are wasted (weight-for-height)18 (%),Children under 5 years who are severely wasted (weight-for-height)19 (%),Children under 5 years who are underweight (weight-for-age)18 (%),Children under 5 years who are overweight (weight-for-height)20 (%),Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),Children Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (Children under age 5 years) (%) ,Prevalence of diarrhoea in the 2 weeks preceding the survey (Children under age 5 years) (%) 
9.6,45.8,30.7,57.2,57.2,3.7,79.3,4.7,9.8
11.4,37.6,38.9,46.0,46.0,0.2,72.2,2.1,15.7
15.6,36.3,30.5,36.9,36.9,1.5,85.2,4.1,6.7
4.1,45.0,31.7,47.2,47.2,4.8,79.4,6.3,8.8
4.0,31.8,29.4,30.8,30.8,8.6,77.5,6.5,12.0
3.3,35.3,31.7,39.3,39.3,6.9,70.4,5.1,19.2
13.4,29.0,26.2,38.0,38.0,2.2,74.4,5.2,11.6
7.3,27.7,28.1,31.3,31.3,4.0,71.4,2.5,6.0
4.6,27.6,34.0,33.9,33.9,10.1,70.5,3.9,4.0
8.4,31.3,28.4,33.9,33.9,4.7,72.8,2.7,3.9
7.2,36.9,23.7,35.6,35.6,8.3,78.0,2.6,4.5
4.5,35.7,30.0,35.4,35.4,9.5,76.6,3.2,4.7
6.8,37.3,38.5,46.6,46.6,7.6,76.6,7.3,5.7
2.6,36.6,27.5,39.4,39.4,6.7,75.2,0.0,7.4
3.8,36.0,19.0,35.2,35.2,3.5,76.1,1.0,14.4
11.5,37.4,25.8,38.9,38.9,1.0,72.5,3.2,10.1
1.9,37.6,22.8,41.8,41.8,3.0,75.4,1.4,18.6
5.2,38.0,22.2,39.0,39.0,1.3,68.3,7.0,19.0
11.7,34.2,26.4,42.9,42.9,2.8,64.5,4.1,12.6
13.5,42.2,27.2,44.8,44.8,2.2,67.3,4.7,19.2
17.8,37.2,18.6,24.6,24.6,10.5,65.6,1.7,1.7
14.1,26.6,25.3,29.6,29.6,6.1,72.8,1.7,3.5
5.9,35.8,19.1,34.1,34.1,2.1,67.0,2.6,3.8
9.6,30.7,31.4,32.7,32.7,1.3,58.7,3.3,6.7
9.8,31.7,24.9,41.2,41.2,1.8,64.5,2.7,15.9
3.2,40.8,28.4,36.8,36.8,3.5,61.0,3.0,14.8
14.0,43.2,18.0,33.9,33.9,5.3,59.5,3.3,9.8
12.8,37.2,16.1,32.5,32.5,1.8,67.4,4.1,9.2
7.9,36.3,23.2,32.9,32.9,4.3,70.9,2.4,11.4
15.9,20.2,20.5,28.0,28.0,2.3,68.9,5.9,10.4
8.6,31.7,23.7,29.5,29.5,3.8,69.4,2.4,2.7
2.6,30.8,27.7,32.0,32.0,5.9,55.6,1.4,0.6
15.1,33.6,18.9,34.7,34.7,4.3,66.4,3.2,3.9
5.3,35.0,18.6,27.2,27.2,6.7,62.7,0.3,3.8
5.2,33.0,23.9,37.1,37.1,9.3,70.3,4.7,1.8
4.6,40.8,17.8,30.8,30.8,5.0,67.9,0.4,3.0
21.9,27.3,10.7,12.9,12.9,6.7,48.5,2.3,4.4
26.5,27.1,9.6,19.3,19.3,1.6,37.0,1.4,3.2
23.6,25.1,12.1,9.8,9.8,4.5,41.1,1.3,4.0
21.1,15.5,7.9,11.7,11.7,3.1,42.4,2.1,9.7
22.9,31.5,8.3,14.9,14.9,4.9,39.7,1.1,3.7
13.0,15.6,9.3,10.2,10.2,2.6,41.8,2.4,2.3
19.2,18.4,11.7,14.4,14.4,0.5,50.3,1.9,11.7
15.3,27.1,11.6,16.0,16.0,2.0,34.6,1.9,2.1
14.2,34.0,8.3,14.7,14.7,8.7,42.4,1.2,4.9
23.0,29.8,18.3,20.8,20.8,2.7,33.6,3.1,5.4
37.3,42.5,17.9,29.6,29.6,4.8,45.7,3.6,11.3
34.8,44.6,11.2,23.8,23.8,4.5,39.0,5.1,11.5
43.9,39.7,20.1,26.5,26.5,4.1,28.0,1.6,9.2
25.5,49.8,8.5,23.6,23.6,3.7,47.2,4.8,10.6
13.2,35.6,11.7,15.8,15.8,7.3,30.2,0.9,6.6
30.0,32.2,19.9,26.4,26.4,3.3,35.5,7.5,7.9
31.2,51.4,10.4,27.6,27.6,3.5,61.3,6.0,7.5
17.2,39.5,14.9,26.3,26.3,5.2,30.2,3.5,7.8
24.5,48.7,9.7,28.3,28.3,3.0,54.6,4.8,13.7
27.5,59.0,8.0,31.1,31.1,3.1,56.2,6.5,10.1
14.2,34.0,8.3,14.7,14.7,8.7,42.4,1.2,4.9
6.8,26.4,7.4,13.9,13.9,5.9,45.5,0.0,0.6
23.2,30.4,11.3,12.6,12.6,7.6,53.8,0.9,1.2
17.9,25.3,7.3,9.6,9.6,12.3,44.0,0.8,7.1
5.6,27.2,12.1,13.1,13.1,10.6,38.3,0.0,0.8
12.1,31.8,8.4,14.4,14.4,8.7,43.2,0.3,3.2
9.4,26.5,9.5,11.1,11.1,10.1,45.7,0.8,4.0
9.2,32.7,16.2,16.9,16.9,9.1,55.3,0.5,2.7
5.8,35.5,7.8,23.3,23.3,3.2,39.4,1.6,4.7
6.9,31.4,11.7,22.9,22.9,5.9,35.5,0.9,2.4
20.8,44.0,26.9,44.5,44.5,1.5,34.9,0.0,1.8
28.8,26.3,23.5,28.0,28.0,1.1,45.4,1.6,3.6
17.3,28.3,25.0,29.8,29.8,3.8,48.9,0.6,2.2
14.5,28.0,12.9,15.6,15.6,6.8,44.9,1.1,1.9
13.0,37.1,24.6,34.2,34.2,5.5,38.8,1.8,5.5
20.1,34.1,19.8,25.7,25.7,6.8,40.4,1.2,6.1
12.0,36.9,11.0,25.0,25.0,7.5,55.2,1.6,7.9
18.0,28.3,26.9,22.1,22.1,6.6,38.4,0.9,0.5
11.0,34.9,9.1,20.7,20.7,4.1,51.0,0.5,3.4
18.2,33.5,13.5,25.5,25.5,4.1,70.3,3.1,11.0
23.0,35.2,15.7,29.9,29.9,6.1,65.9,4.5,14.2
15.6,27.4,6.8,20.7,20.7,3.7,72.9,5.2,6.3
16.8,25.0,8.9,17.4,17.4,2.9,67.5,5.7,12.7
29.5,38.7,8.8,21.8,21.8,6.2,62.5,2.3,11.5
10.2,26.9,10.9,22.8,22.8,3.2,73.6,8.8,10.8
8.3,32.9,21.2,30.2,30.2,3.7,71.4,4.5,8.7
17.8,33.4,9.4,18.9,18.9,7.1,65.4,0.9,9.5
17.0,21.7,14.7,20.4,20.4,4.6,72.7,4.9,10.6
15.2,27.1,10.6,16.8,16.8,4.7,70.1,9.2,6.9
12.9,36.1,8.4,19.0,19.0,2.1,68.5,7.3,10.7
17.1,38.9,18.0,30.0,30.0,2.9,56.2,2.8,4.0
26.7,27.1,16.9,26.9,26.9,3.1,65.5,1.0,5.9
17.4,40.7,25.5,36.3,36.3,3.7,64.5,1.7,7.6
13.0,28.4,27.3,34.3,34.3,3.2,61.5,4.4,13.4
14.7,32.9,21.1,34.7,34.7,1.2,77.1,3.9,5.4
15.1,36.2,23.8,37.1,37.1,0.9,64.6,2.4,15.3
23.7,36.7,28.5,45.9,45.9,3.0,71.7,3.2,17.5
21.7,24.4,15.0,22.6,22.6,3.8,43.2,5.9,18.3
23.1,32.3,15.8,28.9,28.9,4.5,68.7,7.9,13.8
23.3,28.6,7.9,17.9,17.9,6.6,61.5,6.5,10.4
31.2,13.2,10.7,11.0,11.0,8.3,58.2,7.1,11.0
21.3,20.4,14.2,18.9,18.9,5.6,63.8,8.4,8.3
13.9,25.5,15.9,21.8,21.8,2.2,66.4,9.1,12.0
25.6,33.3,22.7,30.0,30.0,6.8,62.0,6.1,9.5
18.7,28.1,25.1,30.5,30.5,3.5,75.3,4.5,12.0
20.3,20.0,10.5,20.2,20.2,2.9,55.2,1.9,10.6
13.8,17.1,13.2,16.9,16.9,3.3,56.1,2.1,9.9
20.6,13.8,8.9,11.3,11.3,3.8,51.0,0.0,11.8
22.3,23.9,10.2,18.9,18.9,4.9,61.3,0.4,10.6
18.8,43.4,16.1,34.3,34.3,6.1,64.4,0.3,6.4
22.1,34.2,23.3,35.2,35.2,2.4,55.3,1.4,5.3
19.6,37.0,20.1,38.6,38.6,1.6,56.2,2.3,7.0
22.5,29.6,26.0,34.5,34.5,3.1,73.1,0.3,5.3
29.6,32.7,25.5,37.6,37.6,2.1,74.9,0.7,2.3
25.3,43.1,18.1,38.0,38.0,3.7,73.5,0.8,7.0
16.4,33.0,17.2,33.6,33.6,2.1,68.8,2.7,4.2
24.7,43.6,16.1,39.8,39.8,0.6,70.5,1.1,5.1
16.8,44.1,25.2,46.6,46.6,5.0,70.8,0.5,3.6
17.2,43.1,15.9,33.5,33.5,3.7,69.7,0.4,8.3
19.8,44.3,19.3,41.6,41.6,1.0,78.7,1.1,3.8
1.3,25.0,12.4,18.7,18.7,6.9,39.7,0.0,2.5
25.5,17.0,11.6,13.1,13.1,3.4,66.3,5.6,4.5
38.5,48.2,7.3,32.6,32.6,2.6,36.9,0.0,0.0
17.9,25.5,15.3,19.7,19.7,4.3,65.5,4.1,1.6
14.0,24.6,12.8,19.2,19.2,4.9,68.7,2.0,3.3
12.9,24.8,10.3,16.7,16.7,1.8,69.2,0.9,4.1
12.6,19.3,11.5,12.4,12.4,3.8,69.6,1.3,1.7
7.7,17.9,12.0,11.2,11.2,6.6,63.9,0.0,1.2
13.0,30.0,7.1,18.2,18.2,4.6,61.5,0.9,3.1
14.1,22.1,5.9,12.4,12.4,6.4,77.9,0.0,5.6
2.8,22.0,12.0,16.8,16.8,4.9,70.3,6.0,7.4
11.7,35.0,13.6,30.7,30.7,2.8,69.0,4.0,7.5
16.9,28.1,10.3,20.7,20.7,2.7,76.1,3.7,9.4
16.2,23.0,15.4,23.8,23.8,1.2,69.6,9.0,13.0
11.7,36.6,12.1,22.7,22.7,3.1,78.2,5.8,2.9
12.6,20.3,9.9,16.9,16.9,0.4,76.7,0.6,5.8
8.2,19.4,11.9,11.2,11.2,6.3,73.6,1.6,2.9
5.6,23.8,11.3,14.4,14.4,4.5,70.5,0.3,0.9
8.3,15.1,9.1,15.3,15.3,2.5,65.5,0.9,3.2
18.0,26.2,10.7,23.0,23.0,4.6,63.7,2.5,5.0
7.8,23.4,10.4,18.1,18.1,2.7,66.9,6.6,6.4
20.5,33.8,9.4,16.5,16.5,6.1,60.6,6.0,11.0
13.0,35.9,9.5,20.2,20.2,4.2,70.0,1.8,5.2
6.4,30.0,12.9,22.0,22.0,2.9,73.4,4.4,2.5
14.6,25.1,9.5,15.3,15.3,6.5,70.1,1.3,2.3
8.7,22.1,10.3,10.8,10.8,7.8,68.3,0.4,2.7
12.3,24.5,24.9,26.1,26.1,4.5,72.3,4.2,3.0
7.1,24.2,19.8,21.3,21.3,3.9,81.0,1.6,2.2
10.2,22.8,25.6,28.5,28.5,3.4,82.4,2.2,3.6
11.2,27.1,16.5,23.4,23.4,4.0,78.1,5.2,6.2
10.7,20.9,13.9,19.6,19.6,5.9,77.2,3.1,3.7
11.2,33.9,15.6,24.0,24.0,4.1,63.2,4.0,6.1
11.8,40.3,12.2,29.1,29.1,5.1,75.7,3.8,15.3
5.8,45.7,13.7,31.3,31.3,5.6,81.7,6.0,10.8
6.3,37.6,26.6,37.3,37.3,2.3,75.9,2.4,6.4
10.4,26.9,22.0,24.2,24.2,3.4,73.3,7.0,8.7
5.8,37.7,20.7,33.5,33.5,2.2,74.4,4.4,7.3
5.8,25.0,14.6,20.8,20.8,2.0,71.3,0.6,4.3
12.0,23.1,12.8,18.3,18.3,4.1,61.5,3.2,5.9
7.3,31.5,16.2,26.2,26.2,3.7,65.1,1.3,4.6
12.5,32.6,13.3,25.4,25.4,5.5,64.4,2.4,5.3
6.1,25.5,25.0,31.7,31.7,2.7,58.6,3.1,7.7
9.0,39.1,11.5,31.7,31.7,2.2,67.1,1.3,9.4
5.0,44.3,12.1,36.5,36.5,3.0,66.3,1.7,5.2
4.3,30.7,16.4,31.2,31.2,2.5,75.8,2.9,7.5
5.5,35.9,18.3,35.9,35.9,0.9,72.6,1.3,6.3
5.1,22.3,20.0,23.1,23.1,2.8,76.3,2.9,4.2
6.0,33.1,18.1,28.2,28.2,4.8,64.6,5.7,8.6
10.8,30.0,19.6,29.1,29.1,1.0,74.9,9.5,7.4
5.8,22.6,17.4,23.5,23.5,2.7,62.7,2.0,3.9
7.6,30.3,16.6,23.7,23.7,4.5,84.3,3.2,8.2
4.7,31.4,15.6,25.9,25.9,2.5,79.8,0.0,5.7
9.7,44.6,17.3,38.7,38.7,2.1,82.1,0.5,3.8
5.2,31.4,14.6,25.9,25.9,1.0,72.4,1.3,5.2
9.3,29.5,20.8,26.4,26.4,3.3,66.7,7.4,6.4
11.1,46.0,21.3,40.2,40.2,3.2,65.1,8.1,5.4
5.8,34.0,29.0,38.1,38.1,1.4,73.1,5.1,3.7
6.1,34.0,8.6,26.6,26.6,1.8,76.9,1.8,6.9
8.0,29.0,24.9,31.8,31.8,2.9,65.8,0.8,5.0
25.3,31.8,4.5,15.3,15.3,14.1,53.5,0.7,7.2
28.4,25.2,21.1,19.3,19.3,6.5,67.1,2.1,3.3
20.7,24.8,8.0,7.2,7.2,16.6,56.5,0.0,4.5
25.2,17.8,14.3,13.0,13.0,6.5,49.8,0.5,6.5
26.3,18.1,17.0,20.6,20.6,2.1,58.4,3.9,5.2
15.1,20.4,18.3,21.9,21.9,9.4,55.3,1.0,4.1
21.7,20.6,15.7,19.8,19.8,3.0,68.8,2.3,3.1
9.9,29.8,13.1,19.7,19.7,4.2,60.9,0.3,2.8
3.6,30.6,14.8,25.0,25.0,3.3,64.7,2.6,6.0
19.8,23.9,12.4,20.5,20.5,0.0,73.4,1.4,5.6
6.7,23.6,10.1,20.8,20.8,6.3,51.3,1.6,0.7
12.9,25.2,10.3,15.7,15.7,6.3,67.9,0.0,4.0
19.1,19.4,20.9,26.9,26.9,2.8,46.5,0.0,1.5
18.8,26.7,17.3,23.2,23.2,8.5,45.9,0.0,1.3
20.7,27.1,21.1,28.4,28.4,2.2,50.2,0.4,2.3
13.3,33.6,18.4,36.3,36.3,2.4,73.2,0.7,5.6
12.4,27.6,20.9,27.4,27.4,3.1,82.3,1.4,5.2
12.6,29.1,15.9,22.3,22.3,2.9,69.2,0.0,4.3
11.7,25.3,15.1,20.1,20.1,1.6,62.0,0.0,5.6
23.2,20.2,13.9,18.0,18.0,1.6,64.8,1.6,3.4
14.4,32.3,12.5,24.3,24.3,0.8,60.9,2.5,5.7
18.7,19.8,18.4,21.5,21.5,3.0,45.0,0.7,4.3
18.2,19.6,8.3,21.9,21.9,4.9,64.8,2.6,4.8
22.3,32.2,9.5,21.6,21.6,2.8,71.1,3.3,5.1
16.0,27.6,22.8,28.4,28.4,9.1,56.4,0.0,2.6
25.0,32.4,9.5,21.5,21.5,4.7,54.3,0.6,4.3
17.3,20.2,15.5,18.8,18.8,4.2,46.8,0.2,3.8
18.5,29.2,14.4,23.7,23.7,6.8,58.9,0.0,9.3
19.9,26.4,17.7,21.6,21.6,6.3,57.2,0.0,3.3
19.9,20.3,18.4,21.0,21.0,6.7,55.6,0.7,4.8
8.7,29.4,12.0,22.7,22.7,3.7,49.9,0.0,2.7
22.1,17.3,11.4,14.5,14.5,2.8,39.1,0.0,0.9
8.1,28.7,16.9,23.2,23.2,8.9,54.2,0.0,3.2
7.1,29.0,10.4,19.3,19.3,10.1,46.5,0.4,1.1
11.6,23.0,7.0,18.5,18.5,4.2,37.8,1.2,2.9
16.7,21.5,15.3,23.1,23.1,6.2,44.8,0.7,1.5
9.6,45.7,29.5,52.0,52.0,2.9,76.3,1.7,10.3
12.4,28.4,21.8,25.3,25.3,3.7,69.3,1.0,9.2
4.8,30.4,17.7,18.9,18.9,4.3,63.6,0.8,1.0
13.6,29.9,17.5,32.3,32.3,5.5,59.9,0.4,4.1
10.7,33.4,22.9,30.9,30.9,6.4,69.5,2.7,10.8
12.6,32.5,31.8,36.7,36.7,1.4,67.9,1.9,7.0
7.2,49.7,17.3,41.7,41.7,2.8,82.4,3.7,5.4
11.7,33.4,34.5,43.9,43.9,3.1,71.6,1.4,7.1
10.3,30.3,13.9,27.5,27.5,5.9,70.8,2.1,13.5
8.7,22.2,24.7,26.2,26.2,6.0,60.5,9.3,6.7
9.4,38.1,35.7,41.1,41.1,2.7,70.7,2.2,7.1
3.4,33.0,19.3,26.3,26.3,3.6,81.1,1.5,11.2
5.4,42.6,17.8,33.0,33.0,4.1,82.6,2.4,4.0
5.9,25.9,22.1,27.4,27.4,3.4,58.7,1.1,12.6
12.3,36.4,21.3,42.0,42.0,1.1,70.0,1.2,13.3
10.9,33.4,12.0,25.0,25.0,1.2,73.8,4.1,6.4
5.4,35.1,27.3,30.9,30.9,2.5,75.1,2.9,3.6
7.1,31.7,29.8,28.0,28.0,1.7,74.5,5.2,4.6
10.5,31.7,18.1,33.4,33.4,1.4,65.3,0.0,7.8
18.4,30.5,26.2,38.4,38.4,2.8,65.3,1.1,16.2
13.8,27.5,28.8,33.1,33.1,1.6,69.6,2.0,11.6
7.8,22.4,19.4,26.1,26.1,2.3,65.7,2.1,6.1
7.2,37.8,13.9,29.5,29.5,4.0,75.8,1.1,5.3
6.4,32.9,25.0,35.1,35.1,3.0,67.0,0.8,12.3
14.1,28.1,19.3,29.6,29.6,1.5,63.5,3.1,8.3
15.1,29.1,24.9,30.1,30.1,2.8,76.6,4.3,4.6
11.1,32.1,20.0,37.1,37.1,0.8,70.0,2.5,13.0
7.5,40.4,15.1,33.2,33.2,4.9,75.3,1.7,5.0
5.1,36.1,19.0,37.9,37.9,2.4,71.5,4.6,14.4
9.3,29.5,29.5,36.0,36.0,4.4,67.0,4.3,8.7
3.9,38.3,10.3,27.2,27.2,5.5,65.3,1.1,6.0
14.3,45.7,15.9,27.6,27.6,13.1,81.2,1.5,4.9
12.6,22.7,27.6,29.0,29.0,3.4,70.7,1.6,9.8
12.9,47.0,16.6,24.7,24.7,8.1,73.4,2.0,0.7
11.8,26.2,30.0,32.2,32.2,9.0,52.5,0.7,5.7
12.8,34.5,14.9,21.0,21.0,12.4,72.1,0.4,9.9
9.9,25.5,15.3,21.6,21.6,5.0,59.6,3.2,11.3
9.4,31.8,19.3,32.0,32.0,1.9,62.8,1.6,6.2
18.6,30.3,11.7,21.2,21.2,8.7,54.5,0.5,2.4
5.6,28.8,22.0,26.7,26.7,1.9,68.1,3.9,6.1
6.8,36.2,9.4,21.9,21.9,2.7,60.9,1.7,3.2
6.9,40.4,17.6,32.1,32.1,2.1,69.6,5.3,5.0
16.8,42.2,22.5,35.4,35.4,4.6,69.6,0.4,5.5
8.7,32.1,10.2,23.7,23.7,1.3,55.2,2.0,2.8
9.1,25.5,10.3,26.0,26.0,1.7,60.2,0.6,4.0
6.9,25.5,12.0,21.9,21.9,0.6,62.9,5.2,4.7
8.9,37.6,13.8,26.5,26.5,2.9,64.1,1.8,5.4
9.9,35.0,10.9,26.3,26.3,2.0,62.6,3.2,5.6
5.9,39.1,12.0,24.5,24.5,3.7,72.1,7.6,11.5
2.6,31.6,11.0,21.3,21.3,2.1,77.2,6.4,9.3
10.6,35.9,16.4,26.2,26.2,3.4,73.0,4.5,6.8
6.8,46.9,9.5,25.6,25.6,4.8,73.9,3.9,7.0
10.1,44.3,14.6,33.6,33.6,4.0,70.4,4.9,5.7
10.5,45.9,15.4,35.2,35.2,1.4,67.7,2.5,4.4
8.9,38.9,20.1,39.4,39.4,1.4,57.3,3.7,8.6
6.7,44.5,17.0,34.7,34.7,3.2,75.4,7.3,5.8
4.4,47.6,15.8,36.3,36.3,2.2,66.3,1.3,3.7
4.1,47.8,18.2,37.9,37.9,2.9,66.4,5.4,9.5
7.6,44.5,22.3,33.0,33.0,5.4,76.1,3.4,5.1
5.2,39.2,12.1,29.3,29.3,7.5,76.0,2.3,8.0
2.3,32.1,11.5,25.5,25.5,2.0,52.9,1.4,4.9
14.8,47.8,14.3,31.1,31.1,4.7,77.1,4.1,4.6
13.5,43.0,21.5,33.5,33.5,5.2,79.6,3.5,5.6
6.2,38.8,13.9,24.3,24.3,2.6,74.0,4.8,5.8
6.1,39.7,19.4,32.6,32.6,7.3,64.2,3.2,6.5
5.4,44.1,12.5,32.8,32.8,6.8,69.2,1.5,4.4
3.7,34.6,21.4,27.8,27.8,5.8,76.3,3.9,7.1
2.8,45.1,19.5,36.1,36.1,2.3,55.2,0.8,1.2
10.7,40.9,25.2,39.3,39.3,3.3,70.3,3.4,4.9
4.8,46.6,18.7,34.8,34.8,6.7,56.0,0.8,2.7
5.8,48.0,20.6,36.3,36.3,9.1,68.5,2.7,8.4
7.5,42.3,25.0,33.4,33.4,5.0,70.1,4.0,6.6
9.5,51.0,25.7,49.8,49.8,6.3,82.2,3.5,2.4
8.4,47.5,24.8,41.8,41.8,6.7,55.3,1.9,3.2
3.5,51.1,17.8,38.0,38.0,3.6,78.1,1.9,2.9
4.2,35.5,10.0,27.7,27.7,1.3,58.0,1.6,2.8
6.1,40.2,18.3,36.8,36.8,0.8,65.5,1.8,3.9
0.0,37.9,15.1,32.6,32.6,1.0,50.5,0.7,3.8
6.7,41.9,18.1,31.9,31.9,3.0,65.5,4.8,5.2
2.9,30.6,12.4,27.5,27.5,2.6,57.7,0.7,2.5
5.0,31.1,17.8,29.2,29.2,1.9,54.9,1.6,3.0
9.8,52.1,14.4,38.0,38.0,4.1,71.7,6.6,9.8
3.4,50.9,20.3,40.8,40.8,3.3,61.2,6.7,9.8
6.9,41.2,24.9,37.2,37.2,3.9,75.4,5.4,5.1
5.0,45.9,12.1,28.0,28.0,4.7,62.0,11.2,15.4
3.5,37.2,24.8,36.3,36.3,2.8,75.8,4.3,4.1
5.7,35.9,24.2,39.2,39.2,2.7,58.4,7.7,10.4
7.5,42.3,19.0,34.2,34.2,2.9,71.6,4.9,3.5
8.0,40.5,21.8,37.4,37.4,3.4,60.5,4.2,3.4
2.3,29.6,23.3,33.7,33.7,1.3,67.4,3.9,3.4
3.0,32.2,24.3,36.6,36.6,2.2,52.8,5.9,4.6
2.7,36.8,26.5,39.4,39.4,3.4,54.9,1.6,5.0
0.0,33.4,14.4,28.0,28.0,0.5,58.9,1.8,2.7
3.2,25.4,21.2,30.3,30.3,1.2,62.7,2.6,4.7
0.9,43.8,21.9,42.5,42.5,2.2,71.6,7.1,10.3
5.7,40.5,14.8,30.3,30.3,2.7,65.3,4.8,5.1
4.4,39.3,25.7,38.3,38.3,3.6,71.6,5.3,6.6
3.5,39.5,17.4,29.9,29.9,0.6,64.6,1.2,4.4
5.8,37.4,21.0,39.0,39.0,3.1,65.2,2.1,4.4
2.9,42.7,9.1,26.5,26.5,2.3,59.2,1.6,4.1
4.6,43.4,12.5,27.6,27.6,2.9,59.8,2.6,3.8
2.5,38.3,26.8,46.5,46.5,0.9,63.0,2.9,2.0
5.0,48.8,15.0,30.6,30.6,3.7,77.4,9.1,9.4
5.6,45.1,19.3,35.5,35.5,4.6,80.8,6.1,11.1
5.7,35.8,19.9,33.1,33.1,1.2,52.4,3.7,4.4
8.6,51.8,18.2,43.0,43.0,3.8,72.2,4.2,10.6
6.0,28.2,17.1,23.4,23.4,3.0,61.8,0.8,4.7
10.9,30.2,18.5,26.9,26.9,5.1,69.4,2.0,3.9
12.9,34.7,19.1,27.0,27.0,2.3,67.6,2.2,7.0
16.1,29.8,20.7,29.9,29.9,4.2,65.4,0.5,6.4
3.4,47.0,13.0,28.8,28.8,4.3,76.4,4.0,2.1
5.6,51.6,14.1,29.8,29.8,3.8,69.8,2.1,5.4
1.8,28.6,24.3,27.5,27.5,2.1,65.2,1.3,1.9
4.4,33.4,10.7,28.3,28.3,1.4,62.3,1.3,2.3
7.6,34.1,10.6,23.5,23.5,2.7,73.6,1.7,4.8
10.3,34.1,16.2,21.6,21.6,7.5,65.5,1.5,5.7
10.8,25.2,8.0,10.9,10.9,4.2,52.4,0.9,3.2
1.5,29.3,12.8,20.7,20.7,2.2,61.7,2.5,3.0
13.3,20.9,10.1,19.1,19.1,3.8,59.5,1.4,1.7
12.1,30.0,12.0,18.8,18.8,4.7,57.2,1.6,6.1
16.9,25.6,12.4,20.6,20.6,4.4,36.2,0.5,4.8
7.2,23.6,7.7,11.9,11.9,3.5,43.7,1.8,4.0
18.1,26.0,17.0,22.9,22.9,4.4,57.7,4.0,6.2
9.0,24.9,12.4,15.3,15.3,4.7,43.1,0.0,4.2
19.2,23.2,14.0,14.8,14.8,7.5,59.8,2.4,5.0
9.7,26.8,12.4,22.0,22.0,2.4,60.8,1.9,3.4
15.5,31.1,16.4,27.0,27.0,4.0,63.1,3.9,6.4
29.4,34.3,20.6,31.6,31.6,8.2,68.1,3.1,6.6
28.5,28.9,18.3,25.4,25.4,5.5,67.4,2.1,4.3
23.2,28.7,16.8,22.5,22.5,2.3,66.4,2.5,4.5
20.4,44.8,16.0,32.0,32.0,7.1,77.2,4.3,7.9
34.2,31.9,22.8,30.2,30.2,3.9,72.5,2.1,2.7
24.2,40.5,20.0,35.3,35.3,3.3,71.0,2.3,5.5
7.8,39.8,16.3,32.4,32.4,3.6,72.1,2.4,7.8
24.6,37.0,25.5,41.8,41.8,3.4,76.5,4.7,9.5
17.8,26.1,17.6,25.1,25.1,3.0,63.6,3.3,5.9
25.5,32.4,13.3,23.6,23.6,6.5,57.9,2.0,2.0
25.3,28.9,20.0,33.4,33.4,5.2,67.9,0.8,11.2
23.8,30.3,26.0,38.8,38.8,1.9,67.1,4.3,12.7
24.6,36.9,29.4,46.3,46.3,1.0,77.9,4.0,9.0
20.6,27.5,21.3,27.3,27.3,4.6,67.7,5.6,6.6
31.6,29.6,29.3,32.9,32.9,6.0,72.3,2.6,5.6
27.6,36.7,21.2,32.2,32.2,7.0,70.4,1.6,4.5
21.8,31.1,30.3,40.0,40.0,1.7,66.0,1.4,6.3
20.9,25.8,15.5,30.6,30.6,3.1,67.5,3.8,8.9
31.1,39.7,25.5,41.0,41.0,3.1,74.7,2.0,8.8
34.1,32.7,21.1,31.6,31.6,3.0,71.5,5.0,3.3
