"Total children age 6-23 months receiving an adequate diet16, 17  (%)",Children under 5 years who are stunted (height-for-age)18 (%),Children under 5 years who are wasted (weight-for-height)18 (%),Children under 5 years who are severely wasted (weight-for-height)19 (%),Children under 5 years who are underweight (weight-for-age)18 (%),Children under 5 years who are overweight (weight-for-height)20 (%),Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),Children Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (Children under age 5 years) (%) ,Prevalence of diarrhoea in the 2 weeks preceding the survey (Children under age 5 years) (%) 
14.0,45.4,19.3,39.2,39.2,1.5,68.9,3.8,14.3
17.2,42.6,19.9,34.7,34.7,1.9,64.6,4.3,14.6
13.8,34.2,21.5,29.2,29.2,3.5,56.1,5.9,6.1
10.8,36.7,18.2,30.8,30.8,3.1,63.9,7.4,15.8
7.1,39.7,28.8,45.0,45.0,2.0,69.8,1.6,15.9
11.7,38.3,19.6,38.4,38.4,3.8,77.1,3.9,15.0
17.7,44.0,21.3,42.8,42.8,1.7,67.2,4.5,10.6
4.6,37.8,21.0,35.6,35.6,4.0,74.5,3.1,11.9
16.3,34.8,25.3,36.4,36.4,1.4,67.1,1.6,13.9
8.1,40.0,21.2,40.4,40.4,2.8,78.7,1.1,10.9
2.8,46.7,26.9,45.8,45.8,5.2,77.8,2.3,6.9
5.1,35.5,26.7,39.5,39.5,2.4,74.3,2.6,14.5
3.6,42.7,25.6,45.1,45.1,1.4,77.2,1.3,9.7
5.5,53.6,16.3,37.6,37.6,5.6,80.1,6.8,9.1
9.6,42.6,27.8,46.7,46.7,1.8,80.3,5.3,12.4
8.3,34.5,27.5,39.6,39.6,1.4,65.4,0.7,9.3
7.7,40.7,31.3,44.0,44.0,2.2,67.7,1.4,11.8
8.3,39.6,33.2,45.3,45.3,4.9,68.3,3.7,10.4
13.4,44.1,27.3,47.2,47.2,2.5,71.4,4.2,3.1
2.6,40.0,31.8,48.2,48.2,2.5,70.3,3.1,3.6
5.8,41.2,32.9,48.7,48.7,4.7,68.4,2.5,7.1
12.5,47.4,24.3,43.5,43.5,3.7,76.7,4.1,5.1
5.1,49.4,18.2,37.3,37.3,1.1,73.3,2.8,3.4
3.3,43.0,19.4,37.5,37.5,1.7,81.9,1.9,2.1
6.6,41.3,36.6,51.7,51.7,1.8,61.9,3.4,11.2
11.5,45.6,36.8,52.9,52.9,2.9,65.8,5.0,13.4
19.0,25.3,8.4,20.6,20.6,1.9,54.6,0.3,4.3
8.0,32.1,18.1,31.8,31.8,0.3,56.3,0.4,1.2
5.8,35.8,17.0,33.6,33.6,1.0,54.1,0.0,1.3
4.5,39.1,14.9,28.0,28.0,0.6,62.7,0.8,1.9
4.0,34.7,14.7,27.9,27.9,6.3,63.6,0.3,5.3
4.8,32.5,24.6,30.2,30.2,6.6,74.1,2.1,6.2
6.8,37.9,12.0,27.3,27.3,6.0,67.5,0.0,0.0
10.6,27.6,19.4,31.0,31.0,2.2,80.5,0.0,2.9
15.7,36.8,14.0,25.8,25.8,3.4,75.8,2.4,5.1
8.9,30.5,17.9,28.9,28.9,2.7,67.3,3.1,1.4
8.0,24.8,24.5,36.1,36.1,2.6,62.3,2.8,3.2
14.8,43.7,21.5,39.5,39.5,6.3,86.8,1.6,4.6
16.4,53.8,20.0,46.1,46.1,3.9,77.2,2.8,4.5
2.9,33.6,15.1,36.0,36.0,7.7,68.3,1.2,1.3
11.5,40.9,19.4,34.1,34.1,7.3,67.8,3.0,4.7
13.4,35.1,23.0,38.8,38.8,1.6,50.1,0.5,1.1
10.6,48.1,20.4,45.2,45.2,5.2,80.7,5.3,18.5
14.7,38.4,16.4,27.6,27.6,4.1,61.8,0.0,1.3
15.2,25.7,24.0,28.0,28.0,4.4,78.1,0.8,5.1
19.6,45.6,19.4,45.8,45.8,9.8,89.9,1.0,2.4
8.3,38.9,16.9,27.7,27.7,3.0,57.1,0.0,2.0
9.4,28.9,21.9,22.1,22.1,13.5,73.9,4.8,1.6
9.3,37.6,22.8,42.2,42.2,5.5,76.6,4.4,10.9
3.0,30.1,17.7,30.6,30.6,2.1,62.0,0.0,1.2
7.9,32.2,21.7,32.3,32.3,5.6,74.6,3.8,3.4
20.9,41.8,21.2,37.4,37.4,6.5,91.4,1.8,4.9
11.4,27.6,19.3,32.3,32.3,0.4,51.1,0.0,2.5
9.9,29.4,17.5,30.6,30.6,1.3,51.4,0.3,2.6
17.9,33.9,17.4,28.5,28.5,8.2,62.8,0.5,1.2
11.8,30.0,25.2,29.3,29.3,1.4,82.5,0.5,4.8
9.2,42.4,20.9,42.1,42.1,1.5,74.8,0.3,2.1
25.8,24.2,17.7,25.8,25.8,2.7,55.2,1.5,3.6
13.4,28.3,21.4,21.0,21.0,2.8,50.0,0.0,2.5
5.1,37.5,20.2,33.4,33.4,2.6,68.6,0.5,3.2
3.8,39.0,25.5,44.1,44.1,1.2,79.0,0.0,7.7
3.2,50.5,20.9,42.3,42.3,3.1,76.2,0.5,6.8
